kode_alternatif,kode_unor,unor,kode_jabatan,nama_jabatan,jenis_jabatan,abk,eksisting_asn,eksisting_non_asn,kebutuhan_ideal,pensiun_5th,kebutuhan_prioritas_unor,rasio_kebutuhan_unor,rasio_norm,nilai_jabatan,rasio_pemenuhan_unor,skala_keb_prioritas
A1,OPD-01,BADAN KESATUAN BANGSA DAN POLITIK,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,2,1,0,1,0,1,0.5,0.5,1,0.616666667,4
A2,OPD-02,BADAN PENANGGULANGAN BENCANA DAERAH,JFT-16,PRANATA PENCARIAN DAN PERTOLONGAN PEMULA,FUNGSIONAL TEKNIS,12,1,8,3,0,1,0.083333333,0.083333333,2,0.266666667,4
A3,OPD-02,BADAN PENANGGULANGAN BENCANA DAERAH,JP-07,PENATA LAYANAN OPERASIONAL,PELAKSANA,1,0,0,1,0,1,1,1,1,0.266666667,3
A4,OPD-02,BADAN PENANGGULANGAN BENCANA DAERAH,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,11,4,1,6,0,5,0.454545455,0.454545455,1,0.266666667,4
A5,OPD-03,BAGIAN ADMINISTRASI PEMBANGUNAN,JP-14,PENGOLAH DATA DAN INFORMASI,PELAKSANA,7,6,0,1,0,1,0.142857143,0.142857143,1,0.647058824,3
A6,OPD-04,BAGIAN ADMINISTRASI PEREKONOMIAN,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,2,1,0,1,1,1,0.5,0.5,1,0.473684211,3
A7,OPD-05,BAGIAN HUKUM,JP-01,DOKUMENTALIS HUKUM,PELAKSANA,9,3,1,5,0,2,0.222222222,0.222222222,1,0.481481482,2
A8,OPD-06,BAGIAN ORGANISASI,JP-09,PENGADMINISTRASI PERKANTORAN,PELAKSANA,1,0,0,1,0,1,1,1,1,0.708333333,2
A9,OPD-07,BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN,JP-08,PENELAAH TEKNIS KEBIJAKAN,PELAKSANA,9,2,3,4,0,2,0.222222222,0.222222222,1,0.565217391,4
A10,OPD-07,BAGIAN PROTOKOL DAN KOMUNIKASI PIMPINAN,JP-12,PENGELOLA LAYANAN OPERASIONAL,PELAKSANA,4,1,1,2,0,1,0.25,0.25,1,0.565217391,2
